1 2,-536870912 -536870912 -536870912,-536870912;-1073741824
1 2,-2147483648 536870912 536870912,1610612736;1073741824;536870912
1 2,-1610612736 -1610612736 -1610612736,-1610612736;-2147483648;1610612736;1073741824
1 2,-536870912 -1073741824 -2147483648,-1073741824;-1610612736;-2147483648;1610612736;1073741824
1 2,0 536870912 -536870912,536870912;0
1 2,-2147483648 1610612736 -2147483648,-536870912;1610612736;1073741824;536870912;0
1 2,-1610612736 1610612736 536870912,-1610612736;-2147483648;1610612736
1 2,-1073741824 536870912 -1073741824,-536870912;536870912;0
1 2,0 536870912 -1610612736,-536870912;-1073741824;536870912;0
1 2,536870912 1610612736 0,-2147483648;1610612736
1 2,-1073741824 -536870912 -2147483648,-536870912;-1073741824;-1610612736;-2147483648;1610612736
1 2,-536870912 -1073741824 536870912,-536870912;-1073741824;0
1 2,1073741824 -1073741824 -1073741824,-1073741824;-1610612736;-2147483648
1 2,1073741824 -1073741824 1610612736,-536870912;-1073741824;1073741824;536870912;0
1 2,1610612736 1073741824 0,1610612736;1073741824
1 2,-536870912 536870912 -1073741824,-536870912;536870912;0
1 2,-536870912 -1073741824 -536870912,-1073741824;-1610612736
1 2,-2147483648 -1610612736 536870912,-536870912;-1073741824;-1610612736
1 2,-1610612736 1610612736 -1610612736,1610612736;1073741824;536870912;0
1 2,-536870912 -1073741824 0,-536870912;-1073741824
1 2,0 0 -536870912,-536870912;0
1 2,-1610612736 -536870912 536870912,-536870912;536870912;0
1 2,-1073741824 1610612736 -1610612736,1610612736;1073741824;536870912;0
1 2,0 0 0,536870912;0
1 2,536870912 536870912 536870912,1610612736;1073741824;536870912
1 2,-1073741824 -1073741824 536870912,-536870912;-1073741824;0
1 2,-536870912 1073741824 -2147483648,-536870912;-1073741824;1073741824;536870912;0
1 2,1610612736 -2147483648 -1073741824,-2147483648;1610612736;1073741824
1 2,1073741824 0 536870912,1073741824;536870912;0
1 2,1610612736 1610612736 -2147483648,-536870912;1610612736;1073741824;536870912;0
1 2,-2147483648 -2147483648 -536870912,-2147483648;1610612736
1 2,0 0 -1073741824,-536870912;-1073741824;0
1 2,-536870912 -1610612736 -536870912,-1610612736;-2147483648
1 2,-2147483648 -1610612736 1610612736,-536870912;-1073741824;-1610612736;536870912;0
1 2,-1610612736 -1073741824 536870912,-536870912;-1073741824;0
1 2,0 536870912 1073741824,-2147483648;1610612736;1073741824;536870912
1 2,536870912 1610612736 -1073741824,1610612736;1073741824;536870912
1 2,-1073741824 -1610612736 536870912,-536870912;-1073741824;-1610612736
1 2,0 -536870912 -2147483648,-536870912;-1073741824;-1610612736;-2147483648;1610612736
1 2,536870912 -536870912 536870912,-536870912;536870912;0
1 2,-1073741824 1073741824 1073741824,-1610612736;-2147483648;1610612736;1073741824
1 2,-536870912 0 536870912,1073741824;536870912;0
1 2,1610612736 -536870912 -1610612736,-536870912;-1073741824;-1610612736;-2147483648
1 2,1073741824 1610612736 -2147483648,-536870912;1610612736;1073741824;536870912;0
1 2,1610612736 1610612736 1073741824,-1073741824;-1610612736;-2147483648;1610612736
1 2,-2147483648 -536870912 -1073741824,-536870912;-1073741824;-1610612736
1 2,-1610612736 -2147483648 -536870912,-2147483648;1610612736
1 2,1073741824 -1073741824 -1610612736,-1073741824;-1610612736;-2147483648;1610612736
1 2,-536870912 -2147483648 -536870912,-2147483648;1610612736
1 2,-2147483648 -2147483648 -2147483648,-2147483648;1610612736;1073741824;536870912;0
1 2,-1610612736 1073741824 1073741824,-1610612736;-2147483648;1610612736;1073741824
1 2,1073741824 -2147483648 -2147483648,-2147483648;1610612736;1073741824;536870912;0
1 2,536870912 -1073741824 -1610612736,-1073741824;-1610612736;-2147483648;1610612736
1 2,-1073741824 0 -1610612736,-536870912;-1073741824;-1610612736;0
1 2,0 -1610612736 1073741824,-536870912;-1073741824;-1610612736;0
1 2,536870912 -1610612736 1610612736,-536870912;-1073741824;-1610612736;536870912;0
1 2,-1073741824 -1073741824 1073741824,-536870912;-1073741824;536870912;0
1 2,-536870912 536870912 -1610612736,-536870912;-1073741824;536870912;0
1 2,1610612736 -1610612736 1610612736,-536870912;-1073741824;-1610612736;536870912;0
1 2,1073741824 -1073741824 -2147483648,-1073741824;-1610612736;-2147483648;1610612736;1073741824
1 2,1610612736 -2147483648 0,-1610612736;-2147483648
1 2,-2147483648 1073741824 -1073741824,1073741824;536870912;0
1 2,-1610612736 -536870912 -1073741824,-536870912;-1073741824;-1610612736
1 2,0 1073741824 536870912,-2147483648;1610612736;1073741824
1 2,-536870912 1610612736 -536870912,1610612736;1073741824
1 2,-2147483648 1610612736 -1610612736,1610612736;1073741824;536870912;0
1 2,-1610612736 1610612736 -2147483648,-536870912;1610612736;1073741824;536870912;0
1 2,-1073741824 -536870912 -536870912,-536870912;-1073741824
1 2,-536870912 -536870912 0,-536870912;0
1 2,536870912 0 0,536870912;0
1 2,-1073741824 -536870912 0,-536870912;0
1 2,0 1073741824 -2147483648,-536870912;-1073741824;1073741824;536870912;0
1 2,536870912 -2147483648 -2147483648,-2147483648;1610612736;1073741824;536870912;0
1 2,-536870912 -1610612736 536870912,-536870912;-1073741824;-1610612736
1 2,1610612736 536870912 536870912,1610612736;1073741824;536870912
1 2,1610612736 -1073741824 536870912,-536870912;-1073741824;0
1 2,-2147483648 -1073741824 1610612736,-536870912;-1073741824;1073741824;536870912;0
1 2,-1610612736 1073741824 -1073741824,1073741824;536870912;0
1 2,1073741824 -2147483648 1073741824,-536870912;-1073741824;-1610612736;-2147483648
1 2,-536870912 1073741824 -536870912,1073741824;536870912
1 2,-2147483648 536870912 0,1073741824;536870912
1 2,-1610612736 0 1073741824,1610612736;1073741824;536870912;0
1 2,-1073741824 1073741824 -536870912,1073741824;536870912
1 2,0 -2147483648 -1610612736,-2147483648;1610612736;1073741824;536870912
1 2,536870912 1610612736 1073741824,-1073741824;-1610612736;-2147483648;1610612736
1 2,-1073741824 -2147483648 536870912,-1073741824;-1610612736;-2147483648
1 2,-536870912 536870912 -2147483648,-536870912;-1073741824;-1610612736;536870912;0
1 2,536870912 1610612736 -1610612736,1610612736;1073741824;536870912;0
1 2,1073741824 1610612736 1073741824,-1073741824;-1610612736;-2147483648;1610612736
1 2,1610612736 -2147483648 1073741824,-536870912;-1073741824;-1610612736;-2147483648
1 2,-536870912 -2147483648 -1073741824,-2147483648;1610612736;1073741824
1 2,-2147483648 -1610612736 -2147483648,-1610612736;-2147483648;1610612736;1073741824;536870912
1 2,-1610612736 1610612736 1073741824,-1073741824;-1610612736;-2147483648;1610612736
1 2,-536870912 536870912 1073741824,-2147483648;1610612736;1073741824;536870912
1 2,-536870912 536870912 -536870912,536870912;0
1 2,-2147483648 -1073741824 0,-536870912;-1073741824
1 2,-1610612736 1073741824 1610612736,-1073741824;-1610612736;-2147483648;1610612736;1073741824
1 2,-1073741824 -1610612736 -1073741824,-1610612736;-2147483648;1610612736
1 2,0 -2147483648 536870912,-1073741824;-1610612736;-2147483648
1 2,536870912 -1073741824 1610612736,-536870912;-1073741824;1073741824;536870912;0
1 2,-1073741824 0 1073741824,1610612736;1073741824;536870912;0
1 2,-536870912 -1610612736 0,-1073741824;-1610612736
1 2,1073741824 -536870912 -1073741824,-536870912;-1073741824;-1610612736
1 2,1073741824 1073741824 -2147483648,-536870912;-1073741824;1073741824;536870912;0
1 2,1610612736 1610612736 536870912,-1610612736;-2147483648;1610612736
1 2,0 1610612736 -1073741824,1610612736;1073741824;536870912
1 2,1610612736 -536870912 -536870912,-536870912;-1073741824
1 2,-2147483648 -2147483648 -1610612736,-2147483648;1610612736;1073741824;536870912
1 2,-1610612736 -2147483648 -1610612736,-2147483648;1610612736;1073741824;536870912
1 2,-536870912 -2147483648 -1610612736,-2147483648;1610612736;1073741824;536870912
1 2,-536870912 0 -536870912,-536870912;0
1 2,-2147483648 -1073741824 536870912,-536870912;-1073741824;0
1 2,-1610612736 -2147483648 -2147483648,-2147483648;1610612736;1073741824;536870912;0
1 2,-1073741824 0 -1073741824,-536870912;-1073741824;0
1 2,0 0 1073741824,1610612736;1073741824;536870912;0
1 2,536870912 -1610612736 -2147483648,-1610612736;-2147483648;1610612736;1073741824;536870912
1 2,-1073741824 -2147483648 1073741824,-536870912;-1073741824;-1610612736;-2147483648
1 2,-536870912 0 0,536870912;0
1 2,0 -1073741824 -1073741824,-1073741824;-1610612736;-2147483648
1 2,1073741824 -1073741824 536870912,-536870912;-1073741824;0
1 2,1610612736 1610612736 -1610612736,1610612736;1073741824;536870912;0
1 3,1073741824 536870912 -1073741824,#t
1 3,1610612736 -1073741824 -536870912,#t
1 3,-2147483648 -2147483648 0,#t
1 3,-1610612736 -1610612736 -2147483648,#t
1 3,1073741824 0 -1610612736,#t
1 3,536870912 -536870912 -1073741824,#t
1 3,-1610612736 -536870912 1073741824,#t
1 3,-1073741824 1073741824 1610612736,#t
1 3,0 1610612736 536870912,#t
1 3,536870912 -2147483648 -1610612736,#t
1 3,-1073741824 -1610612736 1610612736,#t
1 3,-536870912 -1073741824 1073741824,#t
1 3,1610612736 1610612736 -1073741824,#t
1 3,1073741824 1073741824 0,#t
1 3,1610612736 -2147483648 536870912,#t
1 3,-2147483648 1610612736 -536870912,#t
1 3,-536870912 -536870912 -1610612736,#t
1 3,1610612736 -1610612736 -536870912,#t
1 3,-2147483648 1073741824 0,#t
1 3,-1610612736 536870912 -1610612736,#t
1 3,0 -1073741824 0,#t
1 3,536870912 1073741824 -1073741824,#t
1 3,-1073741824 536870912 -2147483648,#t
1 3,0 -1610612736 -1610612736,#t
1 3,536870912 1073741824 0,#t
1 3,-1073741824 -2147483648 -2147483648,#t
1 3,-536870912 1073741824 -1610612736,#t
1 3,1610612736 -1073741824 -1610612736,#t
1 3,1073741824 -1610612736 -1610612736,#t
1 3,1610612736 0 -1610612736,#t
1 3,-2147483648 -1073741824 -1073741824,#t
1 3,-1610612736 1610612736 -536870912,#t
1 3,0 -1073741824 -1610612736,#t
1 3,1610612736 -2147483648 -536870912,#t
1 3,-2147483648 1610612736 0,#t
1 3,-1610612736 536870912 536870912,#t
1 3,0 0 -2147483648,#t
1 3,536870912 -1073741824 -2147483648,#t
1 3,-1073741824 -536870912 1073741824,#t
1 3,0 -536870912 1610612736,#t
1 3,536870912 1610612736 536870912,#t
1 3,-536870912 0 1610612736,#t
1 3,1610612736 1610612736 0,#t
1 3,1073741824 1610612736 -1610612736,#t
1 3,1610612736 -536870912 0,#t
1 3,-2147483648 536870912 -1073741824,#t
1 3,-1610612736 -1073741824 -1073741824,#t
1 3,-536870912 -536870912 1610612736,#t
1 3,1610612736 1610612736 -536870912,#t
1 3,-2147483648 1073741824 1610612736,#t
1 3,-1610612736 -1610612736 1610612736,#t
1 3,-1073741824 -1073741824 -536870912,#t
1 3,1073741824 1073741824 1610612736,#t
1 3,536870912 -2147483648 1610612736,#t
1 3,-1073741824 -1073741824 1610612736,#t
1 3,0 -1073741824 1073741824,#t
1 3,536870912 -2147483648 0,#t
1 3,1073741824 -536870912 536870912,#t
1 3,1610612736 0 1073741824,#t
1 3,1610612736 -536870912 -2147483648,#t
1 3,-2147483648 -1610612736 1073741824,#t
1 3,-1610612736 536870912 -1073741824,#t
1 3,-536870912 1610612736 -2147483648,#t
1 3,1610612736 1073741824 -536870912,#t
1 3,-2147483648 536870912 -2147483648,#t
1 3,-1610612736 -1610612736 536870912,#t
1 3,-1073741824 536870912 -536870912,#t
1 3,0 -1073741824 -2147483648,#t
1 3,536870912 1610612736 -2147483648,#t
1 3,-1073741824 -1610612736 -2147483648,#t
1 3,-536870912 536870912 0,#t
1 3,536870912 1073741824 1610612736,#t
1 3,1073741824 -2147483648 1610612736,#t
1 3,1610612736 -1073741824 -2147483648,#t
1 3,1073741824 -2147483648 -1073741824,#t
1 3,-2147483648 -536870912 0,#t
1 3,-1610612736 -1073741824 0,#t
1 3,1073741824 536870912 -1610612736,#t
1 3,1610612736 536870912 -536870912,#t
1 3,-2147483648 0 -1610612736,#t
1 3,-1610612736 1610612736 0,#t
1 3,-1073741824 -2147483648 -1073741824,#t
1 3,0 1073741824 -1610612736,#t
1 3,536870912 -1073741824 0,#t
1 3,-1073741824 -2147483648 -1610612736,#t
1 3,-536870912 -536870912 -2147483648,#t
1 3,0 -536870912 -1073741824,#t
1 3,1073741824 -2147483648 0,#t
1 3,1610612736 -1610612736 -1610612736,#t
1 3,-536870912 1073741824 -1073741824,#t
1 3,1073741824 -536870912 -536870912,#t
1 3,-2147483648 1610612736 1610612736,#t
1 3,-1610612736 1073741824 -2147483648,#t
1 3,0 -536870912 1073741824,#t
1 3,1610612736 0 -536870912,#t
1 3,-2147483648 1073741824 536870912,#t
1 3,-1610612736 1073741824 536870912,#t
1 3,-1073741824 -536870912 -1610612736,#t
1 3,0 536870912 536870912,#t
1 3,536870912 -536870912 0,#t
1 3,-1073741824 1073741824 536870912,#t
1 3,-536870912 -1610612736 1073741824,#t
1 3,-536870912 -1610612736 -1073741824,#t
1 3,1073741824 536870912 1610612736,#t
1 3,1610612736 -536870912 1073741824,#t
1 3,-2147483648 -536870912 -536870912,#t
1 3,0 536870912 -1073741824,#t
1 3,1073741824 -1073741824 -536870912,#t
1 3,-2147483648 1073741824 -2147483648,#t
1 3,-1610612736 -2147483648 0,#t
1 3,1073741824 -536870912 0,#t
1 3,536870912 -1073741824 -1073741824,#t
1 3,-1610612736 -1073741824 1073741824,#t
1 3,-1073741824 1073741824 0,#t
1 3,0 -2147483648 -2147483648,#t
1 3,536870912 1610612736 1610612736,#t
1 3,-1073741824 1610612736 536870912,#t
1 3,-536870912 1610612736 -1610612736,#t
1 3,1610612736 1073741824 -1073741824,#t
1 3,1073741824 0 -2147483648,#t
1 3,1610612736 -1073741824 1073741824,#t
1 3,-2147483648 1073741824 -536870912,#t
1 3,-1610612736 -536870912 -536870912,#t
1 3,1073741824 -536870912 -1610612736,#t
1 3,1073741824 -1610612736 -536870912,#t
1 3,-2147483648 536870912 -1610612736,#t
1 3,-1610612736 1610612736 1610612736,#t
1 3,-536870912 -536870912 536870912,#t
1 3,536870912 536870912 -1073741824,#t
1 3,-1073741824 536870912 0,#t
1 3,0 0 1610612736,#t
1 3,536870912 1073741824 -2147483648,#t
1 3,-1073741824 -536870912 536870912,#t
1 3,-536870912 1610612736 0,#t
1 3,1610612736 1073741824 -2147483648,#t
1 3,1073741824 -2147483648 -1610612736,#t
1 3,1610612736 536870912 1610612736,#t
1 3,-2147483648 -1610612736 -1073741824,#t
1 3,-1610612736 1073741824 -536870912,#t
1 3,-536870912 -1610612736 -1610612736,#t
1 3,1073741824 -2147483648 -536870912,#t
1 3,-2147483648 1073741824 1073741824,#t
1 3,-1610612736 0 -2147483648,#t
1 3,0 -1073741824 1610612736,#t
1 3,536870912 -1610612736 1073741824,#t
1 3,-1073741824 -1610612736 0,#t
1 3,0 1073741824 1073741824,#t
1 3,536870912 536870912 -1610612736,#t
1 3,-536870912 1073741824 0,#t
1 3,1610612736 0 1610612736,#t
1 3,1073741824 -1610612736 536870912,#t
1 3,1610612736 0 -2147483648,#t
1 3,-2147483648 0 -1073741824,#t
1 3,-1610612736 -1610612736 -1073741824,#t
1 3,-536870912 1073741824 536870912,#t
1 3,1073741824 1610612736 -536870912,#t
1 3,-2147483648 -1073741824 1073741824,#t
1 3,-1610612736 -1610612736 0,#t
1 3,-1073741824 -1610612736 -536870912,#t
1 3,0 1610612736 -2147483648,#t
1 3,536870912 -2147483648 536870912,#t
1 3,-1073741824 -2147483648 0,#t
1 3,0 -1610612736 0,#t
1 3,536870912 -2147483648 1073741824,#t
1 3,1073741824 -536870912 -2147483648,#t
1 3,1610612736 -536870912 1610612736,#t
1 3,1610612736 -1610612736 0,#t
1 3,-2147483648 1073741824 -1610612736,#t
1 3,-1610612736 0 -1073741824,#t
1 3,0 -2147483648 1610612736,#t
1 3,1073741824 1073741824 -536870912,#t
1 3,-2147483648 -1610612736 0,#t
1 3,-1610612736 0 0,#t
1 3,-1073741824 0 -536870912,#t
1 3,0 -2147483648 0,#t
1 3,536870912 0 1073741824,#t
1 3,-1073741824 0 0,#t
1 3,-536870912 1610612736 1073741824,#t
1 3,536870912 -1610612736 0,#t
1 3,1073741824 1610612736 536870912,#t
1 3,1610612736 536870912 1073741824,#t
1 3,0 -2147483648 -1073741824,#t
1 3,-2147483648 -2147483648 536870912,#t
1 3,-1610612736 -1073741824 1610612736,#t
1 3,1073741824 0 1610612736,#t
1 3,1073741824 536870912 -536870912,#t
1 3,-2147483648 -536870912 1073741824,#t
1 3,-1610612736 536870912 -2147483648,#t
1 3,-1073741824 1610612736 -1073741824,#t
1 3,0 1610612736 1610612736,#t
1 3,536870912 1073741824 -1610612736,#t
1 3,-1073741824 1610612736 1610612736,#t
1 3,-536870912 536870912 1610612736,#t
1 3,-536870912 -1073741824 -1073741824,#t
1 3,1073741824 536870912 1073741824,#t
1 3,1610612736 -2147483648 -1610612736,#t
1 3,1073741824 1073741824 -1073741824,#t
1 3,536870912 -536870912 -536870912,#t
1 3,-2147483648 0 1073741824,#t
1 3,-1610612736 536870912 1610612736,#t
1 3,0 -2147483648 1073741824,#t
1 3,1073741824 0 -536870912,#t
1 3,-1610612736 -536870912 -2147483648,#t
1 3,-1073741824 -1073741824 -1610612736,#t
1 3,0 0 -1610612736,#t
1 3,536870912 -1073741824 536870912,#t
1 3,-1073741824 1073741824 -2147483648,#t
1 3,-536870912 1610612736 1610612736,#t
1 3,1610612736 -1610612736 -1073741824,#t
1 3,1073741824 -1610612736 1073741824,#t
1 3,1610612736 -536870912 536870912,#t
1 3,-2147483648 -1073741824 -536870912,#t
1 3,-536870912 0 -1073741824,#t
1 3,536870912 -1073741824 -536870912,#t
1 3,-2147483648 -2147483648 1073741824,#t
1 3,-1610612736 536870912 1073741824,#t
1 3,1073741824 1073741824 536870912,#t
1 3,536870912 -1610612736 -1073741824,#t
1 3,-1073741824 -1073741824 -2147483648,#t
1 3,0 -1610612736 1610612736,#t
1 3,536870912 1073741824 1073741824,#t
1 3,-1073741824 536870912 -1610612736,#t
1 3,-536870912 1073741824 1073741824,#t
1 3,1610612736 536870912 -1073741824,#t
1 3,1073741824 1610612736 1610612736,#t
1 3,1610612736 536870912 -1610612736,#t
1 3,-2147483648 536870912 -536870912,#t
1 3,-1610612736 -1073741824 -536870912,#t
1 3,0 -536870912 -1610612736,#t
1 3,536870912 -1610612736 -536870912,#t
1 3,-2147483648 0 1610612736,#t
1 3,-1610612736 -1610612736 1073741824,#t
1 3,1073741824 -536870912 1610612736,#t
1 3,536870912 0 -1073741824,#t
1 3,-1073741824 -2147483648 1610612736,#t
1 3,0 -1073741824 536870912,#t
1 3,536870912 -1073741824 1073741824,#t
1 3,-1073741824 1610612736 0,#t
1 3,-536870912 -1610612736 1610612736,#t
1 3,1610612736 1073741824 1073741824,#t
1 3,1073741824 1610612736 0,#t
1 3,1610612736 0 536870912,#t
1 3,-2147483648 -2147483648 -1073741824,#t
1 3,-1610612736 536870912 -536870912,#t
1 3,0 -1610612736 -2147483648,#t
1 3,536870912 -2147483648 -536870912,#t
1 3,-2147483648 -536870912 1610612736,#t
